Unnamed: 0,Chords,Notes_from_Degrees
0,C7,"['""C4""', '""E4""', '""G4""', '""A#4""']"
1,Cmaj7,"['""C4""', '""E4""', '""G4""', '""B4""']"
2,C9,"['""C4""', '""D4""', '""E4""', '""G4""', '""A#4""']"
3,Cmaj9,"['""C4""', '""D4""', '""E4""', '""G4""', '""B4""']"
4,Cmajs9,"['""C4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
5,Cb9,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A#4""']"
6,Cb79,"['""C4""', '""D4""', '""E4""', '""G4""', '""A4""']"
7,Cb7b9,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A4""']"
8,C7b9,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A#4""']"
9,C7sus2,"['""C4""', '""D4""', '""E4""', '""G4""', '""A#4""']"
10,Cmaj7sus2,"['""C4""', '""D4""', '""E4""', '""G4""', '""B4""']"
11,C7sus4,"['""C4""', '""E4""', '""F4""', '""G4""', '""A#4""']"
12,Cmaj7sus4,"['""C4""', '""E4""', '""F4""', '""G4""', '""B4""']"
13,Cadd9,"['""C4""', '""D4""', '""E4""', '""G4""']"
14,Cadd11,"['""C4""', '""E4""', '""F4""', '""G4""']"
15,Cadd13,"['""C4""', '""E4""', '""G4""', '""A4""']"
16,C11s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
17,C11b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A#4""']"
18,Cmajs911s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""B4""']"
19,Cb711b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""']"
20,Cmaj11,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""B4""']"
21,Cmaj911s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""B4""']"
22,C11,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A#4""']"
23,Cb11b9,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A#4""']"
24,C13b11b9b,"['""C4""', '""C#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
25,C13b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
26,C1311s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
27,C13b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
28,Cmaj13b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
29,C13bb9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
30,Cmaj13s911s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
31,Cb713b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A4""']"
32,Cmaj13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
33,Cmaj1311s,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
34,C13,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
35,C11b913b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
36,C1113b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
37,Cmin7,"['""C4""', '""D#4""', '""G4""', '""A#4""']"
38,Cminmaj7,"['""C4""', '""D#4""', '""G4""', '""B4""']"
39,Cmin9,"['""C4""', '""D4""', '""D#4""', '""G4""', '""A#4""']"
40,Cminmaj9,"['""C4""', '""D4""', '""D#4""', '""G4""', '""B4""']"
41,Cminmajs9,"['""C4""', '""D#4""', '""G4""', '""B4""']"
42,Cminb9,"['""C4""', '""C#4""', '""D#4""', '""G4""', '""A#4""']"
43,Cminb79,"['""C4""', '""D4""', '""D#4""', '""G4""', '""A4""']"
44,Cminb7b9,"['""C4""', '""C#4""', '""D#4""', '""G4""', '""A4""']"
45,Cmin7b9,"['""C4""', '""C#4""', '""D#4""', '""G4""', '""A#4""']"
46,Cmin7sus2,"['""C4""', '""D4""', '""D#4""', '""G4""', '""A#4""']"
47,Cminmaj7sus2,"['""C4""', '""D4""', '""D#4""', '""G4""', '""B4""']"
48,Cmin7sus4,"['""C4""', '""D#4""', '""F4""', '""G4""', '""A#4""']"
49,Cminmaj7sus4,"['""C4""', '""D#4""', '""F4""', '""G4""', '""B4""']"
50,Cminadd9,"['""C4""', '""D4""', '""D#4""', '""G4""']"
51,Cminadd11,"['""C4""', '""D#4""', '""F4""', '""G4""']"
52,Cminadd13,"['""C4""', '""D#4""', '""G4""', '""A4""']"
53,Cmin11s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A#4""']"
